,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,LiCl,ATP,ADP,P2Y12G
60.73437343734373,0.9786887647354875,0.8937449878175855,0.0822678751302635,0.43776681908021065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.78427842784278,0.9786887525426643,0.893744987615638,0.08226787420022409,0.4377669636697659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.83418341834183,0.9786887404587973,0.8937449874039588,0.08226787328395849,0.43776710696195864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.88408840884088,0.978688728482895,0.8937449871824484,0.08226787238143159,0.43776724896851027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.93399339933993,0.978688716613977,0.8937449869510096,0.0822678714926082,0.43776738970101076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.98389838983898,0.9786887048510744,0.8937449867095473,0.0822678706174531,0.43776752917091866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.03380338033803,0.9786886931932293,0.8937449864579687,0.08226786975593098,0.4377676673895613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.08370837083708,0.9786886816394946,0.8937449861961831,0.08226786890800647,0.43776780436813445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.13361336133613,0.9786886701889349,0.8937449859241021,0.08226786807364415,0.43776794011770265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.18351835183518,0.9786886588406257,0.8937449856416392,0.0822678672528085,0.4377680746491989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.23342334233423,0.9786886475936536,0.8937449853487102,0.082267866445464,0.4377682079734251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.28332833283328,0.9786886364471166,0.8937449850452331,0.08226786565157497,0.4377683401010514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.33323332333233,0.9786886254001235,0.8937449847311282,0.08226786487110575,0.4377684710426169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.38313831383138,0.9786886144517946,0.8937449844063178,0.0822678641040206,0.4377686008085291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.43304330433043,0.9786886036012611,0.8937449840707264,0.08226786335028366,0.4377687294090642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.48294829482948,0.9786885928476655,0.8937449837242808,0.08226786260985906,0.4377688568543671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.53285328532853,0.9786885821901614,0.8937449833669097,0.08226786188271089,0.4377689831544512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.58275827582758,0.9786885716279136,0.8937449829985443,0.08226786116880308,0.4377691083191986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.63266326632663,0.9786885611600981,0.8937449826191177,0.08226786046809959,0.4377692323583599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.682568256825675,0.9786885507859018,0.8937449822285655,0.08226785978056425,0.43776935528155453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.73247324732473,0.978688540504523,0.893744981826825,0.08226785910616087,0.4377694770982704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.78237823782378,0.9786885303151712,0.8937449814138362,0.08226785844485318,0.437769597817864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.83228322832283,0.9786885202170669,0.8937449809895409,0.08226785779660482,0.4377697174495606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.88218821882188,0.9786885102094418,0.8937449805538833,0.08226785716137942,0.43776983600245395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.932093209320925,0.9786885002915388,0.8937449801068095,0.08226785653914051,0.4377699534855065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.98199819981998,0.9786884904626117,0.8937449796482679,0.08226785592985154,0.4377700699075493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.03190319031903,0.9786884807219262,0.8937449791782095,0.08226785533347593,0.43777018527728195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.08180818081808,0.978688471068758,0.8937449786965868,0.08226785474997701,0.4377702996032728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.13171317131713,0.9786884615023951,0.8937449782033547,0.08226785417931806,0.4377704128939587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.181618161816175,0.9786884520221357,0.8937449776984706,0.0822678536214623,0.43777052515764525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.231523152315226,0.97868844262729,0.8937449771818936,0.08226785307637287,0.4377706364025066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.28142814281428,0.9786884333171788,0.8937449766535853,0.08226785254401285,0.4377707466365855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.33133313331333,0.9786884240911342,0.8937449761135094,0.08226785202434526,0.4377708558677933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.38123812381238,0.9786884149484995,0.8937449755616318,0.08226785151733305,0.4377709641039101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.431143114311425,0.978688405888629,0.8937449749979203,0.08226785102293913,0.43777107135258453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.481048104810476,0.9786883969108885,0.8937449744223451,0.08226785054112627,0.4377711776213338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.53095309530953,0.9786883880146546,0.8937449738348788,0.08226785007185729,0.4377712829175438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.58085808580858,0.9786883791993153,0.8937449732354958,0.08226784961509484,0.4377713872484691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.63076307630762,0.9786883704642695,0.893744972624173,0.08226784917080159,0.4377714906212328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.680668066806675,0.9786883618089274,0.8937449720008889,0.08226784873894007,0.4377715930428266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.730573057305726,0.9786883532323077,0.893744971367048,0.08226784831876062,0.4377716945255277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.78047804780478,0.9786883447323438,0.8937449707279284,0.0822678479075758,0.43777179509622033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.83038303830383,0.9786883363082138,0.893744970084454,0.08226784750487831,0.4377718947650743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.88028802880287,0.9786883279592281,0.893744969437123,0.08226784711037499,0.4377719935404989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.930193019301925,0.9786883196847048,0.8937449687864469,0.08226784672376689,0.4377720914308158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.980098009800976,0.9786883114839701,0.8937449681329513,0.08226784634474921,0.43777218844425914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.03000300030003,0.9786883033563578,0.8937449674771754,0.08226784597301132,0.4377722845889753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.07990799079908,0.9786882953012103,0.8937449668196715,0.08226784560823681,0.4377723798730232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.12981298129812,0.9786882873178769,0.8937449661610064,0.08226784525010343,0.43777247430437394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.179717971797174,0.9786882794057158,0.8937449655017601,0.08226784489828311,0.4377725678909112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.229622962296226,0.9786882715640923,0.8937449648425263,0.08226784455244196,0.43777266064043097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.27952795279528,0.9786882637923802,0.8937449641839125,0.08226784421224029,0.43777275256064163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.32943294329433,0.9786882560899606,0.8937449635265396,0.08226784387733257,0.437772843659164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.37933793379337,0.9786882484562232,0.8937449628710428,0.08226784354736745,0.4377729339435313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.429242924292424,0.978688240890565,0.8937449622180702,0.08226784322198778,0.4377730234211889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.479147914791476,0.9786882333923913,0.8937449615682841,0.08226784290083058,0.43777311209949493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.52905290529053,0.978688225961115,0.8937449609223602,0.08226784258352705,0.4377731999857197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.57895789578958,0.9786882185961572,0.893744960280988,0.08226784226970257,0.4377732870870458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.62886288628862,0.9786882112969465,0.8937449596448708,0.0822678419589767,0.43777337341056854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.678767876787674,0.9786882040629199,0.8937449590147252,0.0822678416509632,0.4377734589632952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
